,text,likes,comments,shares,reactions_count
0,"#NoLesPasóLaTarjeta | Si algo tienen en común el chavismo y la oposición disidente en el estado Carabobo es que ambos ignoran a Luis Acosta Carlez. El exmilitar busca ser nuevamente el gobernador de Carabobo, compitiendo con ocho más
https://t.co/xoocEVfbOE",22051,37684,7169,66904
1,Acuérdense del municipio Montalban del Edo Carabobo está falta de gas desde hace  6 meses https://t.co/2yRrVKE1q0,70825,5005,51269,127099
2,"@Maby80 Hay que hacer una gran campaña nacional, donde sea obligatorio en todos los locales comerciales sea visible la taza cambiaría del @BCV_ORG_VE asi podemos deslastrar la página criminal del  dólar, también hay que usar las redes, quien no cumpla que sea severamente sancionado",83464,62547,12914,158925
3,"@sundde_ve Pero es que están aumentando es en Bs descaradamente.... De 15&gt;20 millones de Bs y si lo quieres en $ te lo aplican al dólar bcv,no hay rollo pero el mal ya está hecho.... URGENTE PRECIO DE VENTA AL PUBLICO EN   LO QUE QUIERAN BS O DIVISAS PERO YAAAAAAAA",69447,32087,72647,174181
4,"@AlexandrePalla4 Profe excelente análisis, de acuerdo contigo, aquí en Táchira aun lo esperamos esta es tu casa.",45042,66488,92392,203922
5,#12Sep hoy reunidos nuestro candidato #JoseJavierQuintero con líderes de la UBCH Simón Rodríguez de Andrés Bello #Tachira rumbo a la recuperación de nuestro estado y municipio #RescatemosAndresBello #FormoParteDeUnGranEquipo @PartidoPSUV @PSUVTachira @FreddyBernal @NellyverLugo https://t.co/TMkcSTd7vj,98109,95266,41708,235083
6,Arrepientase la. Idolatría es pecado. Y atrae maldición,66177,22883,94053,183113
7,La serie Falcon y el Soldado del Invierno ha explorado la importancia del escudo del Capitán América. ¿Cuál es su origen? Le contamos → https://t.co/RhGQz3mBCC https://t.co/uxbwxENKu8,51767,23439,2643,77849
8,"@BcodeVenezuela buenos días, soy cliente nuevo del banco y me entregaron una TDD sin imprimir no tiene fecha de vencimiento y no puedo afiliar ni solicitar pagoclave ni la tarjeta de coordenadas, me pueden ayudar",23578,30870,33513,87961
9,"PuebloyFANBInvencibles Desde el estado Bolívar con firmeza y patriotismo continuamos nuestra gran labor al servicio de la Nación.

#29Sep #GNBPacElCallaoBolivar #CEOFANB #GNBBolívar 
#AndaYVacúnate
.@PresidencialVen
.@GnbGaranteDePaz
.@GNB_CZBolivar
https://t.co/jKtlBF3cs0",94315,49460,33888,177663
